token	DF	postings
!	3	1, 2, 4
(	1	4
)	1	4
,	4	0, 1, 3, 4
.	3	0, 3, 4
...	1	1
3/4	1	4
98	1	4
?	1	4
a	1	0
alive	1	2
an	1	1
and	3	1, 3, 4
are	2	2, 3
awful	1	0
better	1	0
cares	1	0
cent	1	1
elephant	1	1
everywhere	1	3
faithful	1	1
from	1	3
funny	1	3
get	1	0
going	1	0
guaranteed	1	4
here	1	3
hundred	1	1
i	1	1
indeed	1	4
is	2	0, 2
it	1	0
like	1	0
lot	1	0
meant	1	1
no	1	2
not	1	0
nothing	1	0
one	2	1, 2
per	1	1
percent	1	4
s	2	0, 1
said	1	1
someone	1	0
succeed	1	4
than	1	2
that	1	2
there	2	2, 3
things	1	3
to	2	0, 3
today	1	2
true	1	2
truer	1	2
unless	1	0
what	1	1
who	1	2
whole	1	0
will	1	4
yes	1	4
you	3	0, 2, 4
you-er	1	2
’	2	0, 1
