row_id,tokens,relation,head_pos,tail_pos
1046,"He openly thanked and acknowledged her in the liner notes of OneRepublic 's debut album , "" Dreaming Out Loud "" .",performer,17 18 19,11
817,"Actress Ava Gardner had 14 dresses created for her in 1956 by Christian Dior for the Mark Robson film "" The Little Hut "" .",director,20 21 22,16 17
1165,"It also features a song by Melanie Blatt and Artful Dodger called "" TwentyFourSeven "" .",performer,13,6 7
303,"It had a tentative release date of April 2003 for Japan , and would be developed by the same employees who worked on "" Ace Combat 2 "" at Namco .",publisher,24 25 26,29
2664,"The novel was also adapted for cinema by director Carlo Lizzani and the film "" Fontamara "" was released in 1977 .",director,15,9 10
394,"Magnenat Thalmann and J. Weber , LCAO Xα calculation of the ionization energies of small molecules , Chemical Physics Letters , Elsevier , vol .",publisher,17 18 19,21
2775,"It also released Billy Ray Cyrus 's album "" Wanna Be Your Joe "" and re - released John Cougar Mellencamp 's "" American Fool "" and Tom Petty 's "" Greatest Hits "" .",performer,23 24,18 19 20
2320,"Thompson also starred in a A Will of their Own , a 1998 American television mini - series directed by Karen Arthur .",director,5 6 7 8 9,20 21
1694,"In 2016 , Berloff co - wrote the screenplay for the film "" Blood Father , "" directed by Jean - François Richet .",director,13 14,19 20 21 22
1319,"It was directed by Ron Lagomarsino , who previously directed the season 's second half premiere "" Of Late I Think of Rosewood "" .",director,17 18 19 20 21 22,4 5
2002,"In 1990 , she starred in "" The Merry Wives of Windsor "" at the Shakespeare Theatre at the Folger in the role of Sir John Falstaff , a balding knight with whiskers .",characters,7 8 9 10 11,24 25 26
404,"Spectar is an arcade game released by Exidy as a sequel to "" Targ "" .",publisher,13,7
2289,"On December 19 , 2006 , it was announced that InXile Entertainment had gained console rights for Line Rider , legally restricting copies and imitations of the game .",publisher,17 18,10 11
2000,"Katherine ( also known as The Radical ) is a 1975 television film written and directed by Jeremy Kagan , and starring Sissy Spacek , Art Carney and Henry Winkler .",director,5 6,17 18
